Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-6125,-6125,-29132,-15420,-11152
Acquisitions net,-,-,-,-,-4153
Net cash used for investing activites,-3830,-3830,-29132,-10669,-15305
Debt repayment,-9971,-9971,-48.8141,-5929,-1363
Common stock issued,-,-,17716,10366,20093
Common stock repurchased,-22.8376,-22.8376,-302.6254,-583.3526,-380.1202
Other financing activites,-28.547,-28.547,-538.7178,-,-
Net cash used privided by (used for) financing activities,-161.2903,-161.2903,35573,21918,18350
Net change in cash,-9138,-9138,175.9011,5228,5174
Cash at beginning of period,11704,11704,11755,5576,859.8784
Cash at end of period,2434,2434,11618,10637,6010
Capital Expenditure,-6125,-6125,-29132,-15420,-11152
Free Cash Flow,-11272,-11272,-35398,-21441,-9023
