Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,1216800,799487,663007
Liabilities,,,
Total Liabilities,119661,41317,51180
Stockholders' Equity,,,
Common Stock,1072031,746867,588354
Retained Earnings,25108,11303,23473
Total stockholders' equity,1097139,758170,611827
Total liabilities and stockholders' equity,1216800,799487,663007
