Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,925516,1682827,1982650,2129948
Depreciation & amortization,-,2000056,2084127,2141844
Change in working capital,-,-43259,-183475,-434725
Inventory,-,-239944,-126464,-139758
Other working capital,-,460024,1142339,868875
Other non-cash items,-,-293620,64448,775880
Net cash provided by operating activites,-,3517959,3957120,5060415
Investments in property plant and equipment,-,-3057935,-2814781,-4191540
Acquisitions net,-,-11000,-,-
Purchases of investments,-,-4574402,-15112,-114064
Sales/Maturities of investments,-,3333434,-,107393
Other investing activites,-,-95695,-837758,705142
Net cash used for investing activites,-,-4117416,-3411275,-3427730
Net change in cash,-,-1255401,628883,1741409
Cash at beginning of period,-,9525544,8896661,7155251
Cash at end of period,-,8270142,9525544,8896661
Operating Cash Flow,-,3517959,3957120,5060415
Capital Expenditure,-,-3057935,-2814781,-4191540
Free Cash Flow,-,460024,1142339,868875
