Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-,-,-0.424,-55.588,-62
Net cash used for investing activites,11.058,11.058,41.849,53.528,109
Common stock issued,-,-,1372,3361,-
Common stock repurchased,-,-,-13.491,-186.163,-
Other financing activites,-89.439,-89.439,-,-,-
Net cash used privided by (used for) financing activities,-89.439,-89.439,1358,3175,-
Net change in cash,1099,1099,-787.425,-3193,-6303
Cash at beginning of period,2111,2111,2899,6092,12395
Cash at end of period,3211,3211,2111,2899,6092
Capital Expenditure,-,-,-0.424,-55.588,-62
Free Cash Flow,1178,1178,-2188,-6477,-6474
