Breakdown,ttm,6/30/2019,6/30/2018
Total Revenue,5987,4720,936
Interest Expense,-,29,85
Income Before Tax,-6182,-7079,-8843
Income Tax Expense,126,68,-157
Income from Continuing Operations,-6308,-7147,-8686
Net Income,-6041,-7019,-7172
Net Income available to common shareholders,-6041,-7019,-7172
Basic EPS,-,-0.11,-0.49
Diluted EPS,-,-0.11,-0.49
Basic Average Shares,-,66230,14827
Diluted Average Shares,-,66230,14827
