Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,164853,164853,134935,110180,78224
Interest Expense,89697,89697,50592,27790,18968
Income Before Tax,102134,102134,84027,77161,54795
Income Tax Expense,24805,24805,21153,22477,21668
Income from Continuing Operations,77329,77329,62874,54684,33127
Net Income,77329,77329,62874,54684,33127
Net Income available to common shareholders,68113,68113,59544,51354,31125
Basic EPS,-,-,2.08,2.28,1.47
Diluted EPS,-,-,2.07,2.28,1.47
Basic Average Shares,-,-,28693,22551,21111
Diluted Average Shares,-,-,28724,22569,21113
