Breakdown,ttm,3/31/2019,3/31/2018,6/30/2016
Net Income,9614000,9771000,5460000,5165308
Depreciation & amortization,2142000,1952000,1533000,1232587
Change in working capital,-667000,-6620000,9689000,-5916191
Inventory,-55000,-50000,-27000,-13398
Other working capital,5568000,102000,13152000,-3656480
Other non-cash items,165000,141000,619000,324917
Net cash provided by operating activites,8819000,2580000,14293000,-2618597
Investments in property plant and equipment,-3251000,-2478000,-1141000,-1037883
Acquisitions net,-1592000,-1388000,-1052000,-204329
Purchases of investments,-,-,-1190000,-1195346
Sales/Maturities of investments,-,949000,2863000,-
Other investing activites,-322000,2000,-243000,137137
Net cash used for investing activites,-3378000,-2397000,1008000,-1071606
Net change in cash,1834000,8704000,12913000,-15755597
Cash at beginning of period,45829000,39450000,25335000,34077359
Cash at end of period,47714000,48154000,38248000,18321762
Operating Cash Flow,8819000,2580000,14293000,-2618597
Capital Expenditure,-3251000,-2478000,-1141000,-1037883
Free Cash Flow,5568000,102000,13152000,-3656480
