Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-536.128,-430.972,-1680,-3475,-2220
Net cash used for investing activites,-536.128,-430.972,-1680,-3475,-2220
Debt repayment,-,-,-60,-269.003,-442.035
Common stock issued,-,-,889.104,5286,1086
Other financing activites,-,-,-,-,2.836
Net cash used privided by (used for) financing activities,1906,1340,3495,5517,2983
Net change in cash,174.469,-381.137,112.932,-141.501,-1579
Cash at beginning of period,42.806,493.752,279.927,504.034,2035
Cash at end of period,217.275,115.669,493.752,279.927,504.034
Capital Expenditure,-536.128,-430.972,-1680,-3475,-2220
Free Cash Flow,-1731,-1721,-3382,-5658,-4562
