Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Investments in property plant and equipment,-24.425,-24.425,-35.477,-4431,-33.845
Purchases of investments,-7.138,-7.138,-,-75,-15
Sales/Maturities of investments,40.485,40.485,37.52,-,985.987
Other investing activites,-,-,-,-,0.7
Net cash used for investing activites,106.294,106.294,236.471,-3679,3197
Debt repayment,-1000,-1000,-,-350,-1943
Common stock issued,-,-,-,270,-
Other financing activites,-,-,-58.993,-201.285,-26.682
Net cash used privided by (used for) financing activities,-691.259,-691.259,-58.993,1819,-1970
Net change in cash,-718.89,-718.89,1553,-1043,1500
Cash at beginning of period,2396,2396,843.355,1887,386.831
Cash at end of period,1677,1677,2396,843.355,1887
Capital Expenditure,-24.425,-24.425,-35.477,-4431,-33.845
Free Cash Flow,-158.35,-158.35,1340,-3614,238.9
