Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2932,-3532,-,-42.609,-3.96
Purchases of investments,-,13.271,4.165,26.259,-17.836
Sales/Maturities of investments,-,-,-,0.223,-
Other investing activites,-,-,-331.215,-,-2300
Net cash used for investing activites,-2577,-3518,-327.05,15191,-2322
Common stock issued,-,-,-,1000,2028
Common stock repurchased,-,-,-,-54.13,-230.126
Net cash used privided by (used for) financing activities,-,-,-,945.87,1798
Net change in cash,-4253,-6466,-3505,13287,-2999
Cash at beginning of period,7903,10378,13883,595.76,3595
Cash at end of period,3650,3913,10378,13883,595.76
Capital Expenditure,-2932,-3532,-,-42.609,-3.96
Free Cash Flow,-8357,-6479,-3178,-2892,-2479
