Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,32985000,33473000,35967000,36533000
Selling General and Administrative,26028000,26661000,27441000,27982000
Total Operating Expenses,29003000,29969000,30591000,27982000
Interest Expense,809000,920000,911000,1150000
Income Before Tax,2297000,1788000,4785000,5600000
Income Tax Expense,1102000,704000,1748000,1898000
Income from Continuing Operations,1195000,1084000,3037000,3702000
Net Income,1195000,1083000,3037000,3701000
Net Income available to common shareholders,1195000,1083000,3037000,3701000
Basic EPS,-,13.13,36.54,-
Diluted EPS,-,4.98,16.63,-
Basic Average Shares,-,82534,82536,-
Diluted Average Shares,-,82534,82536,-
