Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Net Income,2551575,2770141,2335216,1890750,1581288
Depreciation & amortization,513541,521480,513340,194873,142999
Change in working capital,893553,497209,-1485733,-252166,-481877
Inventory,-142671,-121580,-166169,-,-
Other working capital,3573056,4285919,-1448995,-403823,-435598
Other non-cash items,-93127,640111,-1295605,136173,168049
Net cash provided by operating activites,3763260,4480938,1022716,1530776,1533057
Investments in property plant and equipment,-190204,-195019,-2471711,-1934599,-1968655
Acquisitions net,-,0,-1900000,-,-105000
Purchases of investments,-,-1336298,-,-,-
Other investing activites,-,-56,-10005,-4800,1191735
Net cash used for investing activites,-1053857,-1258726,-4245393,-1939399,-981920
Net change in cash,2697533,3347801,-3051330,-352470,2229530
Cash at beginning of period,5599706,3505349,6556679,6909149,4679619
Cash at end of period,8328566,6853150,3505349,6556679,6909149
Operating Cash Flow,3763260,4480938,1022716,1530776,1533057
Capital Expenditure,-190204,-195019,-2471711,-1934599,-1968655
Free Cash Flow,3573056,4285919,-1448995,-403823,-435598
