Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,23879,-23420,7573,-14252,28752
Interest Expense,1923,1458,1458,1459,1458
Income Before Tax,20640,-26544,2689,-20572,23054
Income Tax Expense,5391,-8842,-2055,-6678,7269
Income from Continuing Operations,15249,-17702,4744,-13894,15785
Net Income,15249,-17702,4744,-13894,17250
Net Income available to common shareholders,15249,-17702,4744,-13894,17250
Basic EPS,-,-0.10,0.03,-0.08,0.11
Diluted EPS,-,-0.10,0.03,-0.08,0.11
Basic Average Shares,-,168693,168745,166307,161151
Diluted Average Shares,-,168693,168745,166307,161151
