Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,561317,526609,529616,510231
Interest Expense,22775,17934,19090,21504
Income Before Tax,54326,89879,101205,113997
Income Tax Expense,9381,15981,47514,40397
Income from Continuing Operations,44945,73898,53690,73600
Net Income,44945,37235,53690,73600
Net Income available to common shareholders,44945,37235,53690,73600
Basic EPS,-,4.01,5.89,8.38
Diluted EPS,-,4.01,5.89,8.38
Basic Average Shares,-,9284,9119,8783
Diluted Average Shares,-,9284,9119,8783
