Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-267.419,-23.672,-80.22,-168.414,-78.52
Purchases of investments,23.083,-0.979,-21.739,-1254,-505.903
Sales/Maturities of investments,-,-,-,1961,1189
Net cash used for investing activites,-244.336,-24.651,-101.959,538.611,628.102
Common stock issued,-,-,-,55,-
Dividends Paid,-2928,-3044,-2460,-1674,-
Net cash used privided by (used for) financing activities,-2928,-3044,-2460,-1619,-
Net change in cash,160.206,64.704,656.254,798.029,2570
Cash at beginning of period,5944,5863,5207,4409,1839
Cash at end of period,6104,5928,5863,5207,4409
Capital Expenditure,-267.419,-23.672,-80.22,-168.414,-78.52
Free Cash Flow,3065,3110,3138,1711,1863
