Breakdown,5/31/2019,5/31/2018,5/31/2017,5/31/2016
Total Assets,365643,406084,397060,352386
Liabilities,,,,
Total Liabilities,403,3069,427,3341
Stockholders' Equity,,,,
Common Stock,434,434,434,434
Total stockholders' equity,365240,403015,396633,349045
Total liabilities and stockholders' equity,365643,406084,397060,352386
