Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1286,-1306,-1713,-707.262,-497.013
Purchases of investments,-,-,-,-,-5.292
Sales/Maturities of investments,-,-,-,-,10.545
Other investing activites,-,-46.112,-0.665,-21.957,-
Net cash used for investing activites,-1333,-1352,-1714,-729.019,-491.76
Debt repayment,-143.501,-53.708,-763.076,-278.924,-475.97
Common stock issued,3355,1507,4441,3771,635.293
Common stock repurchased,-454.179,-135.278,-569.442,-345.893,-148.206
Net cash used privided by (used for) financing activities,3107,1918,3108,3146,111.117
Net change in cash,-77.654,-985.34,-178.371,863.987,-1927
Cash at beginning of period,642.406,1005,1182,319.028,2246
Cash at end of period,564.752,19.809,1005,1182,319.028
Capital Expenditure,-1286,-1306,-1713,-707.262,-497.013
Free Cash Flow,-3139,-2858,-3286,-2261,-2043
