Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,37877,37877,33962,30962,29129
Interest Expense,8739,8739,5320,3300,3050
Income Before Tax,7492,7492,5371,6600,4010
Income Tax Expense,1529,1529,1014,3598,1321
Income from Continuing Operations,5963,5963,4357,3002,2689
Net Income,5963,5963,4357,3002,2689
Net Income available to common shareholders,5963,5963,4357,3002,2689
Basic EPS,-,-,1.05,0.72,0.65
Diluted EPS,-,-,1.05,0.72,0.65
Basic Average Shares,-,-,4163,4163,4163
Diluted Average Shares,-,-,4163,4163,4163
