Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,18243000,15444000,11305000,11140000
Depreciation & amortization,-,4626000,4193000,4004000
Change in working capital,-,-2774000,1200000,-664000
Inventory,-,-3485000,-7797000,-6376000
Other working capital,-,12841000,10709000,10273000
Other non-cash items,-,35000,-35000,779000
Net cash provided by operating activites,-,18991000,17093000,14641000
Investments in property plant and equipment,-,-6150000,-6384000,-4368000
Purchases of investments,-,-1000000,-1251000,-
Other investing activites,-,-8000,-75000,-297000
Net cash used for investing activites,-,-7151000,-7703000,-4657000
Net change in cash,-,5497000,6227000,-308000
Cash at beginning of period,-,54676000,48448000,48756000
Cash at end of period,-,60174000,54676000,48448000
Operating Cash Flow,-,18991000,17093000,14641000
Capital Expenditure,-,-6150000,-6384000,-4368000
Free Cash Flow,-,12841000,10709000,10273000
