Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-13.4142,-13.4142,-694.1102,-1717
Purchases of investments,-,-,-,-30.0718
Net cash used for investing activites,-13.4142,-13.4142,-694.1102,-1747
Debt repayment,-356.837,-356.837,-,-
Common stock issued,3788,3788,1627,4346
Common stock repurchased,-241.0377,-241.0377,-794.4744,-161.5769
Other financing activites,-81.7713,-81.7713,-,-
Net cash used privided by (used for) financing activities,3109,3109,832.4865,7095
Net change in cash,380.1798,380.1798,-3347,3931
Cash at beginning of period,1844,1844,5217,774.0449
Cash at end of period,2179,2179,1831,4721
Capital Expenditure,-13.4142,-13.4142,-694.1102,-1717
Free Cash Flow,-2729,-2729,-4179,-3134
