Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2086313,2069206,2003846,1877562
Liabilities,,,,
Total Liabilities,1842423,1834127,1768992,1647776
Stockholders' Equity,,,,
Common Stock,97,97,99,98
Retained Earnings,190808,182594,172782,168962
Accumulated other comprehensive income,-7668,-7809,-5694,-5316
Total stockholders' equity,243890,235079,234854,229786
Total liabilities and stockholders' equity,2086313,2069206,2003846,1877562
