Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,7740000,7255000,5602000,4812000
Depreciation & amortization,-,5867000,5677000,5643000
Change in working capital,-,-521000,16000,-1332000
Inventory,-,461000,312000,-240000
Other working capital,-,-7189000,7786000,3208000
Other non-cash items,-,321000,343000,589000
Net cash provided by operating activites,-,9853000,11718000,9687000
Investments in property plant and equipment,-,-17042000,-3932000,-6479000
Purchases of investments,-,-708000,-760000,-1089000
Sales/Maturities of investments,-,10569000,499000,1010000
Other investing activites,-,-443000,-31000,-14000
Net cash used for investing activites,-,-7085000,-4014000,-6533000
Net change in cash,-,560000,848000,440000
Cash at beginning of period,-,8930000,8081000,7640000
Cash at end of period,-,9490000,8930000,8081000
Operating Cash Flow,-,9853000,11718000,9687000
Capital Expenditure,-,-17042000,-3932000,-6479000
Free Cash Flow,-,-7189000,7786000,3208000
