Breakdown,ttm,6/30/2019
Total Revenue,105,0
Selling General and Administrative,8222,6537
Total Operating Expenses,8222,6537
Operating Income or Loss,-8137,-6537
Interest Expense,-,20
Income Before Tax,-8028,-6518
Income Tax Expense,-1219,-959
Income from Continuing Operations,-6809,-5559
Net Income,-6809,-5559
Net Income available to common shareholders,-6809,-5559
Basic EPS,-,-0.15
Diluted EPS,-,-0.15
Basic Average Shares,-,37333
Diluted Average Shares,-,37333
