Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1184000,653000,1697000,1478000
Depreciation & amortization,886000,827000,878000,862000
Change in working capital,323000,168000,-229000,-526000
Inventory,6000,-178000,211000,-131000
Other working capital,-171000,464000,1416000,-459000
Other non-cash items,-1207000,292000,129000,-323000
Net cash provided by operating activites,972000,1651000,2321000,1220000
Investments in property plant and equipment,-1143000,-1187000,-905000,-1679000
Acquisitions net,-,-70000,-,-
Purchases of investments,-550000,-795000,-1330000,-925000
Sales/Maturities of investments,1307000,742000,1677000,682000
Other investing activites,-27000,-55000,-72000,-102000
Net cash used for investing activites,-483000,-1345000,-615000,-1802000
Net change in cash,-864000,-538000,1662000,-1236000
Cash at beginning of period,7652000,8371000,6709000,7945000
Cash at end of period,6788000,7833000,8371000,6709000
Operating Cash Flow,972000,1651000,2321000,1220000
Capital Expenditure,-1143000,-1187000,-905000,-1679000
Free Cash Flow,-171000,464000,1416000,-459000
