Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-48941,96529,218619,240539
Depreciation & amortization,-,549194,492257,502072
Change in working capital,-,-50229,-68725,14195
Inventory,-,-3901,-39623,-1081
Other working capital,-,-121698,211448,755741
Other non-cash items,-,-4080,104405,138236
Net cash provided by operating activites,-,599379,630602,982999
Investments in property plant and equipment,-,-721077,-419154,-227258
Other investing activites,-,-8599,-65665,-19534
Net cash used for investing activites,-,-729676,-484819,-246792
Net change in cash,-,-305576,266483,106961
Cash at beginning of period,-,585088,318604,211643
Cash at end of period,-,279511,585088,318604
Operating Cash Flow,-,599379,630602,982999
Capital Expenditure,-,-721077,-419154,-227258
Free Cash Flow,-,-121698,211448,755741
