Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,403365,203245,194506,124443
Depreciation & amortization,-,68225,60370,72859
Change in working capital,-,132904,76991,-69417
Inventory,-,1932,-3122,3021
Other working capital,-,318989,287165,42191
Other non-cash items,-,161,155,22787
Net cash provided by operating activites,-,387831,357455,114214
Investments in property plant and equipment,-,-68842,-70290,-72023
Purchases of investments,-,-57698,-76380,-20364
Sales/Maturities of investments,-,49384,65543,48912
Other investing activites,-,-122,14508,-3047
Net cash used for investing activites,-,-77218,-66559,-46462
Net change in cash,-,295150,275721,52580
Cash at beginning of period,-,1128758,853037,800456
Cash at end of period,-,1423908,1128758,853037
Operating Cash Flow,-,387831,357455,114214
Capital Expenditure,-,-68842,-70290,-72023
Free Cash Flow,-,318989,287165,42191
