Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-72233,-57520,29427,-849222
Depreciation & amortization,-,217210,144571,150402
Change in working capital,-,32429,-514298,49525
Inventory,-,-74147,-466483,544237
Other working capital,-,-124162,-735778,-653793
Other non-cash items,-,92458,129318,75227
Net cash provided by operating activites,-,341395,-220127,-429972
Investments in property plant and equipment,-,-465557,-515651,-223821
Sales/Maturities of investments,-,-,15967,-
Other investing activites,-,-65607,-48650,-27949
Net cash used for investing activites,-,-531164,-548334,-251770
Net change in cash,-,9215,-331526,72393
Cash at beginning of period,-,773538,1105064,1032671
Cash at end of period,-,782753,773538,1105064
Operating Cash Flow,-,341395,-220127,-429972
Capital Expenditure,-,-465557,-515651,-223821
Free Cash Flow,-,-124162,-735778,-653793
