Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,9613000,9613000,9722000,10173000,9963000
Depreciation & amortization,4902000,4902000,3643000,2784000,2449000
Change in working capital,-3208000,-3208000,-7496000,-3968000,-5034000
Inventory,-5871000,-5871000,-5162000,-2786000,-4038000
Other working capital,-8323000,-8323000,-10436000,-5333000,-1319000
Other non-cash items,11000,11000,287000,-208000,470000
Net cash provided by operating activites,10998000,10998000,6928000,8932000,6459000
Investments in property plant and equipment,-19321000,-19321000,-17364000,-14265000,-7778000
Acquisitions net,-,-,-486000,-2214000,-296000
Purchases of investments,-440000,-440000,-,-13000,-
Sales/Maturities of investments,100000,100000,-,100000,200000
Other investing activites,-46000,-46000,-294000,-261000,-56000
Net cash used for investing activites,-19707000,-19707000,-18144000,-16628000,-7806000
Net change in cash,5881000,5881000,1273000,-269000,-3613000
Cash at beginning of period,12448000,12448000,10412000,10682000,14296000
Cash at end of period,18330000,18330000,11685000,10412000,10682000
Operating Cash Flow,10998000,10998000,6928000,8932000,6459000
Capital Expenditure,-19321000,-19321000,-17364000,-14265000,-7778000
Free Cash Flow,-8323000,-8323000,-10436000,-5333000,-1319000
