Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,644900,644900,575800,491596,412111
Interest Expense,59000,59000,40900,27934,17661
Income Before Tax,235100,235100,206300,156722,145259
Income Tax Expense,54100,54100,46100,50201,49623
Income from Continuing Operations,181000,181000,160200,106521,95636
Net Income,181000,181000,160200,106521,95636
Net Income available to common shareholders,181000,181000,160200,106521,95636
Basic EPS,-,-,2.77,2.07,2.15
Diluted EPS,-,-,2.77,2.05,2.13
Basic Average Shares,-,-,57779,51429,44512
Diluted Average Shares,-,-,58217,51903,44910
