Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,29406,3509,24488,14657,8078
Income Before Tax,14891,-12054,12051,3281,1174
Income Tax Expense,2710,-2943,2572,-260.219,-413.064
Income from Continuing Operations,12181,-9111,9479,3541,1587
Net Income,12181,-9111,9479,3541,1587
Net Income available to common shareholders,12181,-9111,9479,3541,1587
Basic EPS,-,-0.09,0.10,0.04,0.03
Diluted EPS,-,-0.09,0.10,0.04,0.03
Basic Average Shares,-,101457,98062,92212,63024
Diluted Average Shares,-,101457,98062,92212,63024
