Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,24897,24897,22159,20949,22288
Interest Expense,2461,2461,1596,1061,910
Income Before Tax,7391,7391,6474,6450,9796
Income Tax Expense,1891,1891,1574,3252,3392
Income from Continuing Operations,5500,5500,4900,3198,6404
Net Income,5500,5500,4900,3198,6404
Net Income available to common shareholders,5500,5500,4900,3198,6404
Basic EPS,-,-,0.83,0.50,0.95
Diluted EPS,-,-,0.83,0.50,0.94
Basic Average Shares,-,-,5904,6396,6741
Diluted Average Shares,-,-,5909,6427,6783
