Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,22953000,16775000,10531000,7469000
Depreciation & amortization,-,3845000,4609000,4706000
Change in working capital,-,-12818000,-3372000,-5746000
Inventory,-,-5302000,-465000,410000
Other working capital,-,5919000,6702000,2091000
Other non-cash items,-,341000,366000,446000
Net cash provided by operating activites,-,10129000,10046000,5007000
Investments in property plant and equipment,-,-4210000,-3344000,-2916000
Acquisitions net,-,-,-13000,-11000
Purchases of investments,-,-71000,-16000,-117000
Sales/Maturities of investments,-,10000,120000,1081000
Other investing activites,-,77000,237000,-268000
Net cash used for investing activites,-,-1218000,713000,-1838000
Net change in cash,-,3403000,6734000,-2118000
Cash at beginning of period,-,20777000,14042000,16161000
Cash at end of period,-,24180000,20777000,14042000
Operating Cash Flow,-,10129000,10046000,5007000
Capital Expenditure,-,-4210000,-3344000,-2916000
Free Cash Flow,-,5919000,6702000,2091000
