Breakdown,2/28/2019,2/28/2018,2/28/2017
Total Assets,1441303,1466134,1364543
Liabilities,,,
Total Liabilities,618474,678005,626107
Stockholders' Equity,,,
Common Stock,19385,20874,21376
Retained Earnings,654330,553431,452523
Total stockholders' equity,822829,788129,738436
Total liabilities and stockholders' equity,1441303,1466134,1364543
