Breakdown,7/31/2019,7/31/2018,7/31/2017,7/31/2016
Total Assets,326244,291381,285430,239896
Liabilities,,,,
Total Liabilities,3245,3407,5239,2351
Stockholders' Equity,,,,
Common Stock,18058,17167,16872,16872
Total stockholders' equity,322999,287974,280191,237545
Total liabilities and stockholders' equity,326244,291381,285430,239896
