Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,5704000,5704000,6032000,37533000,4648000
Depreciation & amortization,1512000,1512000,1038000,902000,607000
Change in working capital,314000,314000,1590000,-1345000,-369000
Inventory,-371000,-371000,-192000,1409000,-638000
Other working capital,8181000,8181000,9352000,4369000,3936000
Other non-cash items,106000,106000,31000,86000,0
Net cash provided by operating activites,8996000,8996000,10295000,5347000,4610000
Investments in property plant and equipment,-815000,-815000,-943000,-978000,-674000
Acquisitions net,-86000,-86000,-32000,-17734000,-57000
Purchases of investments,-191000,-191000,-320000,-170000,-109000
Sales/Maturities of investments,339000,339000,167000,160000,22000
Other investing activites,-,-,-,-,0
Net cash used for investing activites,-639000,-639000,-1021000,-18544000,-640000
Net change in cash,-236000,-236000,-356000,1562000,-259000
Cash at beginning of period,2328000,2328000,2822000,1651000,1730000
Cash at end of period,2035000,2035000,2328000,2822000,1651000
Operating Cash Flow,8996000,8996000,10295000,5347000,4610000
Capital Expenditure,-815000,-815000,-943000,-978000,-674000
Free Cash Flow,8181000,8181000,9352000,4369000,3936000
