Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,169511,169511,161295,155504,155161
Interest Expense,18749,18749,12478,7967,7002
Income Before Tax,38896,38896,33038,32515,21169
Income Tax Expense,9356,9356,7172,17514,7138
Income from Continuing Operations,29540,29540,25866,15001,14031
Net Income,29540,29540,25866,15001,14031
Net Income available to common shareholders,29540,29540,25866,15001,14006
Basic EPS,-,-,1.88,1.10,1.03
Diluted EPS,-,-,1.84,1.07,1.03
Basic Average Shares,-,-,13763,13653,13534
Diluted Average Shares,-,-,14063,14007,13534
