Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,174970,174970,156703,143350,123324
Interest Expense,60396,60396,44523,27586,20613
Income Before Tax,66122,66122,57720,54307,42741
Income Tax Expense,18688,18688,13550,17810,16264
Income from Continuing Operations,47434,47434,44170,36497,26477
Net Income,47434,47434,44170,36497,26477
Net Income available to common shareholders,47434,47434,44170,36497,26477
Basic EPS,-,-,2.33,2.06,1.62
Diluted EPS,-,-,2.31,2.03,1.60
Basic Average Shares,-,-,18965,17660,16319
Diluted Average Shares,-,-,19149,17944,16515
