Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,61817,70784,128503,183746
Total Operating Expenses,15840,15567,15819,31557
Operating Income or Loss,45977,55217,112684,152189
Interest Expense,32052,37029,46339,59165
Income Before Tax,-20993,-78635,-335453,-236609
Income Tax Expense,13974,12775,17069,40551
Income from Continuing Operations,-34967,-91410,-352522,-277160
Net Income,-34967,-91410,-352522,-277160
Net Income available to common shareholders,-34967,-91410,-352522,-277160
Basic EPS,-,-0.22,-0.85,-0.67
Diluted EPS,-,-0.22,-0.85,-0.67
Basic Average Shares,-,412509,412509,412509
Diluted Average Shares,-,412509,412509,412509
