Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4661,-6211,-4990,-3809,-1671
Other investing activites,-,10,-,-,-
Net cash used for investing activites,-4651,-6201,-4990,-3809,-1664
Common stock issued,1500,5500,6995,6243,-
Common stock repurchased,-7.274,-343.959,-219.643,-390.575,-
Net cash used privided by (used for) financing activities,1458,5156,6775,5852,-
Net change in cash,-3297,-1686,1670,1485,-1662
Cash at beginning of period,7386,5230,3560,2075,3737
Cash at end of period,4089,3544,5230,3560,2075
Capital Expenditure,-4661,-6211,-4990,-3809,-1671
Free Cash Flow,-4765,-6852,-5106,-4367,-1669
