Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,355818,352288,351609,335723
Liabilities,,,,
Total Liabilities,319769,318271,318566,302638
Stockholders' Equity,,,,
Common Stock,38,38,38,38
Retained Earnings,44807,42795,41344,40189
Accumulated other comprehensive income,15,-188,-188,-238
Total stockholders' equity,36049,34017,33043,33085
Total liabilities and stockholders' equity,355818,352288,351609,335723
