Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,165000,165000,248000,268000,266000
Depreciation & amortization,379000,379000,338000,426000,414000
Change in working capital,407000,407000,-436000,-702000,180000
Inventory,99000,99000,-136000,-233000,-236000
Other working capital,710000,710000,-394000,-75000,480000
Other non-cash items,34000,34000,67000,161000,14000
Net cash provided by operating activites,1047000,1047000,126000,127000,853000
Investments in property plant and equipment,-337000,-337000,-520000,-202000,-373000
Acquisitions net,-16000,-16000,-,-,-
Purchases of investments,-432000,-432000,-233000,-9000,-161000
Sales/Maturities of investments,252000,252000,467000,330000,285000
Other investing activites,-13000,-13000,-138000,-,145000
Net cash used for investing activites,-527000,-527000,62000,-219000,89000
Net change in cash,219000,219000,-245000,-476000,586000
Cash at beginning of period,1270000,1270000,1515000,1991000,1405000
Cash at end of period,1489000,1489000,1270000,1515000,1991000
Operating Cash Flow,1047000,1047000,126000,127000,853000
Capital Expenditure,-337000,-337000,-520000,-202000,-373000
Free Cash Flow,710000,710000,-394000,-75000,480000
