Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,645410,694736,675259,638173
Depreciation & amortization,-,81145,80040,79456
Change in working capital,-,-384880,3676,55748
Inventory,-,-7519,3712,23062
Other working capital,-,327581,691365,793354
Other non-cash items,-,-29379,-470,-14887
Net cash provided by operating activites,-,403791,735050,859835
Investments in property plant and equipment,-,-76210,-43685,-66481
Purchases of investments,-,-5299738,-4999585,-4899337
Sales/Maturities of investments,-,5099926,5199767,4599460
Other investing activites,-,-4804,69108,-682754
Net cash used for investing activites,-,-280826,225605,-1049112
Net change in cash,-,-337458,610445,-519011
Cash at beginning of period,-,4994213,4383768,4902779
Cash at end of period,-,4656754,4994213,4383768
Operating Cash Flow,-,403791,735050,859835
Capital Expenditure,-,-76210,-43685,-66481
Free Cash Flow,-,327581,691365,793354
