Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,574709,651657,628231,564447
Depreciation & amortization,-,73818,59889,50330
Change in working capital,-,-63447,154365,-21188
Inventory,-,7352,-5380,538
Other working capital,-,457257,820046,532904
Other non-cash items,-,-143727,43311,-14619
Net cash provided by operating activites,-,544475,883958,641147
Investments in property plant and equipment,-,-87218,-63912,-108243
Acquisitions net,-,-605718,-,-
Purchases of investments,-,-28490,-225082,-101100
Sales/Maturities of investments,-,150380,-,-
Other investing activites,-,-8818,-6412,-314206
Net cash used for investing activites,-,-619864,-295406,-523549
Net change in cash,-,-297656,351765,-26013
Cash at beginning of period,-,2433221,2081456,2107469
Cash at end of period,-,2135565,2433221,2081456
Operating Cash Flow,-,544475,883958,641147
Capital Expenditure,-,-87218,-63912,-108243
Free Cash Flow,-,457257,820046,532904
