Breakdown,8/31/2019,8/31/2018,8/31/2017,8/31/2016
Total Assets,344020,303836,290394,227182
Liabilities,,,,
Total Liabilities,34844,7088,6422,6278
Stockholders' Equity,,,,
Common Stock,1876,1776,1742,1561
Total stockholders' equity,309176,296748,283972,220904
Total liabilities and stockholders' equity,344020,303836,290394,227182
