Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-,-,-37,-1004,-
Other investing activites,-93,-93,-,-145,-211
Net cash used for investing activites,-93,-93,-37,-1149,-211
Debt repayment,-1138,-1138,-54,-,-
Other financing activites,-,-,-,1491,-16
Net cash used privided by (used for) financing activities,185,185,1345,1866,-16
Net change in cash,180,180,-108,-435,-2257
Cash at beginning of period,22,22,143,590,2888
Cash at end of period,209,209,22,143,590
Capital Expenditure,-,-,-37,-1004,-
Free Cash Flow,88,88,-1453,-2156,-2030
