Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,16585000,13312000,15783000,16433000
Depreciation & amortization,-,1934000,1735000,1367000
Change in working capital,-,-26892000,-4649000,-8754000
Inventory,-,-394000,209000,-3147000
Other working capital,-,-19643000,13878000,5640000
Other non-cash items,-,-2695000,4136000,1625000
Net cash provided by operating activites,-,-12398000,17641000,8625000
Investments in property plant and equipment,-,-7245000,-3763000,-2985000
Acquisitions net,-,-92000,-10271000,-
Purchases of investments,-,-226000,-240000,-346000
Sales/Maturities of investments,-,217000,-,4000
Other investing activites,-,-100000,-,-97000
Net cash used for investing activites,-,-7379000,-14010000,-3090000
Net change in cash,-,-26085000,34606000,1504000
Cash at beginning of period,-,108532000,73926000,72422000
Cash at end of period,-,82446000,108532000,73926000
Operating Cash Flow,-,-12398000,17641000,8625000
Capital Expenditure,-,-7245000,-3763000,-2985000
Free Cash Flow,-,-19643000,13878000,5640000
