Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,393739,383278,336221,328867
Liabilities,,,,
Total Liabilities,348656,336855,285250,278091
Stockholders' Equity,,,,
Common Stock,32.086,33.746,34.907,34.382
Retained Earnings,23157,22929,26061,25700
Accumulated other comprehensive income,307.255,-396.148,-274.266,-363.437
Total stockholders' equity,45083,46423,50971,50777
Total liabilities and stockholders' equity,393739,383278,336221,328867
