Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,-41402,-42350,37834,39110
Change in working capital,7103,-8062,-3529,-10410
Other working capital,-3304,-20033,-24569,-33702
Net cash provided by operating activites,-3304,-20033,-24569,-33702
Purchases of investments,-,-7940,-15331,-54747
Sales/Maturities of investments,9210,29577,40346,100654
Net cash used for investing activites,1270,21637,25014,45907
Net change in cash,-2876,1230,0,0
Cash at beginning of period,4247,0,0,0
Cash at end of period,1370,1230,0,0
Operating Cash Flow,-3304,-20033,-24569,-33702
Free Cash Flow,-3304,-20033,-24569,-33702
