Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,915296,898875,750084,692135
Liabilities,,,,
Total Liabilities,829438,818867,690993,638062
Stockholders' Equity,,,,
Common Stock,7719,7707,2966,2818
Retained Earnings,38831,34371,32726,29960
Accumulated other comprehensive income,-5335,-6357,-5518,-4491
Total stockholders' equity,85858,80008,59091,54073
Total liabilities and stockholders' equity,915296,898875,750084,692135
