Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,67132,67132,62778,54127,47053
Interest Expense,18055,18055,13516,9453,8767
Income Before Tax,30315,30315,27307,22433,20466
Income Tax Expense,6662,6662,5388,9540,7257
Income from Continuing Operations,23653,23653,21919,12893,13209
Net Income,23653,23653,21919,12893,13209
Net Income available to common shareholders,23653,23653,21919,12893,13209
Basic EPS,-,-,2.04,1.22,1.40
Diluted EPS,-,-,2.01,1.20,1.38
Basic Average Shares,-,-,10726,10558,9416
Diluted Average Shares,-,-,10916,10749,9572
