Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-353.796,-1797,-5678,-1756,-309.77
Acquisitions net,-,-,-,-32025,-
Other investing activites,-,-,643.496,-1681,15
Net cash used for investing activites,1240,-1797,-5032,-35407,-294.77
Debt repayment,1491,-1044,-699.337,-,-590.021
Common stock issued,-,1000,-,5850,14440
Common stock repurchased,-,-,-,-34.5,-525.927
Net cash used privided by (used for) financing activities,5980,9229,5436,20598,34284
Net change in cash,-55.65,-1981,-9907,-16538,29006
Cash at beginning of period,984.4,2662,12569,29107,101.201
Cash at end of period,928.75,681.068,2662,12569,29107
Capital Expenditure,-353.796,-1797,-5678,-1756,-309.77
Free Cash Flow,-7629,-11210,-15988,-3485,-5293
