Breakdown,1/31/2019,1/31/2018,1/31/2017
Total Assets,731246,665286,613087
Liabilities,,,
Total Liabilities,386,963,354
Stockholders' Equity,,,
Common Stock,7292,7292,7292
Total stockholders' equity,730860,664323,612733
Total liabilities and stockholders' equity,731246,665286,613087
