Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1374000,2213000,2544000,2621000
Depreciation & amortization,-,1361000,1429000,1503000
Change in working capital,-,446000,-603000,-157000
Inventory,-,347000,-336000,-738000
Other working capital,-,3010000,3135000,1134000
Other non-cash items,-,338000,661000,601000
Net cash provided by operating activites,-,5120000,4235000,3804000
Investments in property plant and equipment,-,-2110000,-1100000,-2670000
Purchases of investments,-,-35000,-2225000,-36000
Sales/Maturities of investments,-,36000,101000,-
Other investing activites,-,-262000,-15000,27000
Net cash used for investing activites,-,-2300000,-2970000,-2588000
Net change in cash,-,7602000,843000,-2181000
Cash at beginning of period,-,3138000,2295000,4476000
Cash at end of period,-,10741000,3138000,2295000
Operating Cash Flow,-,5120000,4235000,3804000
Capital Expenditure,-,-2110000,-1100000,-2670000
Free Cash Flow,-,3010000,3135000,1134000
