Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-2522,-,-,-135.169
Acquisitions net,-,1.002,-,-,-
Other investing activites,-,-,25,-,-
Net cash used for investing activites,-,-2521,25,-,-135.169
Common stock issued,-,7004,-,-,900
Common stock repurchased,-,-,-,-,-9.345
Net cash used privided by (used for) financing activities,7583,8222,275,-,890.655
Net change in cash,1901,5044,-238.107,-521.593,137.204
Cash at beginning of period,103.205,-,331.144,850.913,714.063
Cash at end of period,2004,5044,92.914,331.144,850.913
Capital Expenditure,-,-2522,-,-,-135.169
Free Cash Flow,-5683,-3179,-538.107,-521.593,-753.451
