Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Purchases of investments,-58250,-67814,-38311,-32720
Sales/Maturities of investments,55153,53321,39707,36039
Other investing activites,-197,-167,-,-755
Net cash used for investing activites,-3294,-14660,1396,2564
Net change in cash,1407,140,1121,2390
Cash at beginning of period,3581,4436,3425,981
Cash at end of period,4988,4227,4436,3425
Free Cash Flow,878,-200,-275,-174
