Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-6606,-5101,-1165,-4437,-4034
Purchases of investments,-,-,-92,-,-254
Sales/Maturities of investments,-,-,-,245,-
Other investing activites,1506,2895,141,467,622
Net cash used for investing activites,-5100,-2206,-1116,-3725,-3666
Debt repayment,-11551,-10372,-4715,-1250,-5829
Common stock issued,-,11667,-,-,20890
Other financing activites,-,-301,-310,-1,-8
Net cash used privided by (used for) financing activities,4717,6244,975,-293,15053
Net change in cash,-542,4401,-824,-3924,6472
Cash at beginning of period,3171,2862,3722,7578,1170
Cash at end of period,2629,7333,2862,3722,7578
Capital Expenditure,-6606,-5101,-1165,-4437,-4034
Free Cash Flow,-6765,-4738,-1848,-4343,-8949
