Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-29204,-29204,-27231,-35028,-26764
Acquisitions net,-5540,-5540,-20816,-1476,88368
Sales/Maturities of investments,-,-,-,2160,-
Other investing activites,523,523,-2839,3177,6182
Net cash used for investing activites,129351,129351,-50886,-31167,67786
Debt repayment,-1783001,-1783001,-1454589,-1084924,-1065885
Dividends Paid,-60668,-60668,-63666,-56430,-39213
Other financing activites,-24046,-24046,-994,-1012,-920
Net cash used privided by (used for) financing activities,-207715,-207715,-88500,-72249,-140654
Net change in cash,11665,11665,-45365,25230,60148
Cash at beginning of period,63524,63524,111223,-1174,26888
Cash at end of period,74812,74812,63524,111223,87167
Capital Expenditure,-29204,-29204,-27231,-35028,-26764
Free Cash Flow,60825,60825,66790,93618,106252
