Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,324996,324996,310956,284337,258604
Interest Expense,59011,59011,43410,26754,22101
Income Before Tax,120154,120154,105027,101360,89126
Income Tax Expense,28139,28139,22613,33309,31340
Income from Continuing Operations,92015,92015,82414,68051,57786
Net Income,91960,91960,82414,68051,57786
Net Income available to common shareholders,91442,91442,81869,67531,57377
Basic EPS,-,-,3.16,2.60,2.22
Diluted EPS,-,-,3.16,2.60,2.22
Basic Average Shares,-,-,25938,25926,26060
Diluted Average Shares,-,-,25938,25926,26060
