Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-563.961,-653.389,-909.272,-716.239,-851.661
Net cash used for investing activites,-561.961,-653.389,-417.998,-716.239,-851.661
Common stock issued,-,-,495.416,-,-
Common stock repurchased,-,-,495.416,994.627,-
Other financing activites,-,-,-,-,-85.66
Net cash used privided by (used for) financing activities,1039,1220,1450,1900,2226
Net change in cash,-9.634,-426.887,320.751,122.495,-43.36
Cash at beginning of period,86.816,552.595,231.844,109.349,152.709
Cash at end of period,77.182,125.708,552.595,231.844,109.349
Capital Expenditure,-563.961,-653.389,-909.272,-716.239,-851.661
Free Cash Flow,-1051,-1647,-1621,-1777,-2269
