Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-22352,-16042,-3108,-2279,-13507
Sales/Maturities of investments,-,69793,15948,3252,7519
Net cash used for investing activites,14678,53751,12840,973,-5988
Debt repayment,-190537,-244536,-13551,-1193,-13068
Dividends Paid,-126357,-115372,-113446,-110041,-105736
Net cash used privided by (used for) financing activities,-117235,-160249,-126997,-111234,-118804
Net change in cash,4281,3681,-1381,1582,-18416
Cash at beginning of period,16592,14230,15611,14029,32445
Cash at end of period,20873,17911,14230,15611,14029
Free Cash Flow,106838,110179,112776,111843,106376
