Breakdown,ttm,6/30/2019
Common stock issued,4244,5581
Net cash used privided by (used for) financing activities,4244,5581
Net change in cash,1032,3365
Cash at beginning of period,5845,1018
Cash at end of period,6877,4383
Free Cash Flow,-3212,-2215
