Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1588000,1566000,1669000,1524000
Depreciation & amortization,-,1787000,1655000,1642000
Change in working capital,-,-540000,-771000,-502000
Inventory,-,-570000,-119000,-27000
Other working capital,-,804000,1688000,910000
Other non-cash items,-,-136000,-255000,718000
Net cash provided by operating activites,-,2631000,2887000,2699000
Investments in property plant and equipment,-,-1827000,-1199000,-1789000
Acquisitions net,-,-598000,0,-155000
Purchases of investments,-,-161000,-247000,-360000
Sales/Maturities of investments,-,575000,175000,94000
Other investing activites,-,30000,46000,-38000
Net cash used for investing activites,-,-1925000,-997000,-2136000
Net change in cash,-,-535000,723000,-980000
Cash at beginning of period,-,6794000,6071000,7051000
Cash at end of period,-,6258000,6794000,6071000
Operating Cash Flow,-,2631000,2887000,2699000
Capital Expenditure,-,-1827000,-1199000,-1789000
Free Cash Flow,-,804000,1688000,910000
