Breakdown,ttm,7/31/2019,7/31/2018,7/31/2017,7/31/2016
Net Income,-868975,-633003,-358425,-205450,-226401
Depreciation & amortization,-,-,19931,7545,9118
Change in working capital,-312617,96190,13795,-77696,98390
Inventory,-409929,37788,-50181,55671,86441
Other working capital,-942366,-280462,-254790,-257426,-107031
Other non-cash items,-49902,-24976,6751,4715,3418
Net cash provided by operating activites,-881569,-268348,-254790,-247577,-107031
Investments in property plant and equipment,-60797,-12114,-,-9849,-
Acquisitions net,-,-228341,-,-,-
Purchases of investments,-,-,-,-151659,-
Sales/Maturities of investments,-,-,41529,-,-
Other investing activites,-1190,67,-17,99949,-10310
Net cash used for investing activites,-360328,-240388,50512,-65559,-15310
Net change in cash,1328074,-528213,-164783,352073,-86139
Cash at beginning of period,472244,621311,786095,387819,473958
Cash at end of period,1819716,93098,621311,739892,387819
Operating Cash Flow,-881569,-268348,-254790,-247577,-107031
Capital Expenditure,-60797,-12114,-,-9849,-
Free Cash Flow,-942366,-280462,-254790,-257426,-107031
