Breakdown,ttm,6/30/2019
Other investing activites,-,416
Net cash used for investing activites,-5722,416
Common stock issued,-,11822
Dividends Paid,-10814,-8142
Net cash used privided by (used for) financing activities,226655,3680
Net change in cash,16998,-28838
Cash at beginning of period,4039,30434
Cash at end of period,21037,1596
Free Cash Flow,-203935,-32934
